exam,year,shift,question_text,question_length,subject,topic,bloom_level,difficulty
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Mathematics SECTION 1 (Maximum Marks: 12) This section contains THREE (03) questions. Each question has FOUR options (A), (B), (C) and (D). ONE OR MORE THAN ONE of these four option(s) is(are) correct answer(s). For each question, choose the option(s) corresponding to (all) the correct answer(s). Answer to each question will be evaluated according to the following marking scheme: Full Marks : +4 ONLY if (all) the correct option(s) is(are) chosen; Partial Marks : +3 If all the four options are correct but ONLY three options are chosen; Partial Marks : +2 If three or more options are correct but ONLY two options are chosen, both of which are correct; Partial Marks : +1 If twoor more options are correct but ONLY one option is chosen and it is a correct option; Zero Marks : 0 If none of the options is chosen (i.e. the question is unanswered); Negative Marks:  2 In all other cases. For example, in a question, if (A), (B) and (D) are the ONLY three options corresponding to correct answers, then choosing ONLY (A), (B) and (D) will get +4 marks; choosing ONLY (A) and (B) will get +2 marks; choosing ONLY (A) and (D) will get +2 marks; choosing ONLY (B) and (D) will get +2 marks; choosing ONLY (A) will get +1 mark; choosing ONLY (B) will get +1 mark; choosing ONLY (D) will get +1 mark; choosing no option (i.e. the question is unanswered) will get 0 marks; and choosing any other combination of options will get  2 marks. Let S = (0,1) UC, 2) U(G,4) and T = {0,1, 2,3}. Then which of the following statements is(are) true? (A) There are infinitely many functions from S to T (B) There are infinitely many strictly increasing functions from S to T (C) The number of continuous functions from S' to 7 is at most 120 (D) Every continuous function from S to T is differentiable 1/10",327,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Physics SECTION 1 (Maximum Marks: 12) e This section contains THREE (03) questions. e Each question has FOUR options (A), (B), (C) and (D). ONE OR MORE THAN ONE of these four option(s) is(are) correct answer(s). e For each question, choose the option(s) corresponding to (all) the correct answer(s). e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +4 ONLY if (all) the correct option(s) is(are) chosen; Partial Marks : +3 If all the four options are correct but ONLY three options are chosen; Partial Marks : +2 If three or more options are correct but ONLY two options are chosen, both of which are correct; Partial Marks +: +1 If twoor more options are correct but ONLY one option is chosen and it is a correct option; Zero Marks : 0 If none of the options is chosen (i.e. the question is unanswered); Negative Marks:  2 In all other cases. e For example, in a question, if (A), (B) and (D) are the ONLY three options corresponding to correct answers, then choosing ONLY (A), (B) and (D) will get +4 marks; choosing ONLY (A) and (B) will get +2 marks; choosing ONLY (A) and (D) will get +2 marks; choosing ONLY (B) and (D) will get +2 marks; choosing ONLY (A) will get +1 mark; choosing ONLY (B) will get +1 mark; choosing ONLY (D) will get +1 mark; choosing no option (i.e. the question is unanswered) will get 0 marks; and choosing any other combination of options will get  2 marks. 1/9",266,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.1 A slide with a frictionless curved surface, which becomes horizontal at its lower end, is fixed on the terrace of a building of height 3h from the ground, as shown in the figure. A spherical ball of mass m is released on the slide from rest at a height h from the top of the terrace. The ball leaves the slide with a velocity tg = up% and falls on the ground at a distance d from the building making an angle 6 with the horizontal. It bounces off with a velocity V and reaches a maximum height h,. The acceleration due to gravity is g and the coefficient of restitution of the ground is 1/V3. Which of the following statement(s) is(are) correct? (A) tig = /2ghk (B) ¥ = /2gh(@   2) (C)@ =60 (D) d/h, = 2V3 2/9",144,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.2 Q3 A plane polarized blue light ray is incident on a prism such that there is no reflection from the surface of the prism. The angle of deviation of the emergent ray is 6 = 60° (see Figure-1). The angle of minimum deviation for red light from the same prism is din = 30° (see Figure-2). The refractive index of the prism material for blue light is V3. Which of the following statement(s) is(are) correct? Plane polarized red light Plane polarized blue light Figure-1 Figure-2 (A) The blue light is polarized in the plane of incidence. (B) The angle of the prism is 45°. (C) The refractive index of the material of the prism for red light is V2. (D) The angle of refraction for blue light in air at the exit plane of the prism is 60°. In a circuit shown in the figure, the capacitor C is initially uncharged and the key K is open. In this condition, a current of 1 A flows through the 1 0 resistor. The key is closed at time ¢ = ft). Which of the following statement(s) is(are) correct? [Given: e~! = 0.36] 15V R (A) The value of the resistance R is 3",207,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"(B) Fort < to, the value of current J, is 2 A. (C) Att = tg + 7.2 us, the current in the capacitor is 0.6 A. (D) For t > ©, the charge on the capacitor is 12 wC. 3/9",41,Physics,Electrostatics,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 2 (Maximum Marks: 12) e This section contains FOUR (04) questions. e Each question has FOUR options (A), (B), (C) and (D). ONLY ONE of these four options is the correct answer. e For each question, choose the option corresponding to the correct answer. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +3. If ONLY the correct option is chosen; Zero Marks :",77,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"If none of the options is chosen (i.e. the question is unanswered); Negative Marks :  1 Inall other cases. Q.4 A barof mass M = 1.00 kg and length L = 0.20 m is lying on a horizontal frictionless surface. One end of the bar is pivoted at a point about which it is free to rotate. A small mass m = 0.10 kg is moving on the same horizontal surface with 5.00 m s~? speed on a path perpendicular to the bar. It hits the bar at a distance L/2 from the pivoted end and returns back on the same path with speed v. After this elastic collision, the bar rotates with an angular velocity w. Which of the following statement is correct? (A) w = 6.98 rads“? and v = 4.30 ms7+ (B) w = 3.75 rad s~+ and v = 4.30 ms? (C) w = 3.75 rads~+ andv = 10.0ms7? (D) w = 6.80 rads“? andv = 4.10 ms7+ Q.5 A container has a base of 50 cm xX 5cm and height 50 cm, as shown in the figure. It has two parallel electrically conducting walls each of area 50cm x 50cm. The remaining walls of the container are thin and non-conducting. The container is being filled with a liquid of dielectric constant 3 at a uniform rate of 250 cm? s~?. What is the value of the capacitance of the container after 10 seconds? [Given: Permittivity of free space €g = 9 x 10°17 C?N~1m””, the effects of the non-conducting walls on the capacitance are negligible] (A) 27 pF (B) 63 pF (C) 81 pF (D) 135 pF 4/9",273,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.6 Q.7 One mole of an ideal gas expands adiabatically from an initial state (T,, Vp) to final state (Ts, 5Vo). Another mole of the same gas expands isothermally from a different initial state (Tg,Vp) to the same final state (T;, 5V,). The ratio of the specific heats at constant pressure and constant volume of this ideal gas is y. What is the ratio T, /Tg? (A) 5Y-1 (B) 51-7 (C) 5Y (D) 51+” Two satellites P and Q are moving in different circular orbits around the Earth (radius R). The heights of P and Q from the Earth surface are hp and hg, respectively, where hp = R/3. The accelerations of P and Q due to Earth’s gravity are gp and gg, respectively. If gp/gg = 36/25, what is the value of hg? (A) 3R/5 (B) R/6 (C) 6R/5 (D) 5R/6 5/9",147,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   screen virtual numeric keypad in the place designated to enter the answer. This section contains SIX (06) questions. The answer to each question is a NON-NEGATIVE INTEGER. For each question, enter the correct integer corresponding to the answer using the mouse and the on- Answer to each question will be evaluated according to the following marking scheme: SECTION 3 (Maximum Marks: 24) Full Marks : +4 If ONLY the correct integer is entered; Zero Marks : 0 Inall other cases. Q.8 A Hydrogen-like atom has atomic number Z. Photons emitted in the electronic transitions from Q.9 Q.10 level n = 4 to level n = 3 in these atoms are used to perform photoelectric effect experiment on a target metal. The maximum kinetic energy of the photoelectrons generated is 1.95 eV. If the photoelectric threshold wavelength for the target metal is 310 nm, the value of Z is [Given: hc = 1240 eV-nm and Rhc = 13.6 eV, where R is the Rydberg constant, h is the Planck’s constant and c is the speed of light in vacuum] An optical arrangement consists of two concave mirrors M, and Mz, and a convex lens L with a common principal axis, as shown in the figure. The focal length of L is 10cm. The radii of curvature of M, and Mz are 20cm and 24cm, respectively. The distance between L and Mp is 20 cm. A point object S is placed at the mid-point between L and M, on the axis. When the distance between L and M, is n/7 cm, one of the images coincides with S. The value of n is M, L M, In an experiment for determination of the focal length of a thin convex lens, the distance of the object from the lens is 10 + 0.1 cm and the distance of its real image from the lens is 20 + 0.2 cm. The error in the determination of focal length of the lens is n %. The value of n is 6/9",340,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.11 Q.12 Q.13 A closed container contains a homogeneous mixture of two moles of an ideal monatomic gas (vy = 5/3) and one mole of an ideal diatomic gas (vy = 7/5). Here, y is the ratio of the specific heats at constant pressure and constant volume of an ideal gas. The gas mixture does a work of 66 Joule when heated at constant pressure. The change in its internal energy is Joule. A person of height 1.6 m is walking away from a lamp post of height 4 m along a straight path on the flat ground. The lamp post and the person are always perpendicular to the ground. If the speed of the person is 60 cm s~?, the speed of the tip of the person’s shadow on the ground with respect to the person is cms7}. Two point-like objects of masses 20 gm and 30 gm are fixed at the two ends of a rigid massless rod of length 10 cm. This system is suspended vertically from a rigid ceiling using a thin wire attached to its center of mass, as shown in the figure. The resulting torsional pendulum undergoes small oscillations. The torsional constant of the wire is 1.2 x 1078 Nmrad7?. The angular frequency of the oscillations inn x 1073 rad s~1. The value of n is 30 gm 20 gm 7/9",231,Mathematics,Trigonometry,Understand,Hard
