exam,year,shift,question_text,question_length,subject,topic,bloom_level,difficulty,image_source,folder_source
TNPSC,2023,No,"UGHl- a (Aungy Sey) :   Part-B (General Studies) , Slennssct 2101-200 = Gunn Sg WH sirssir = 150 Questions : 101-200   a 3150.",23,General Studies,General,Understand,Medium,page_1.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,Arrange the following in chronological order with respect to their : Chief Ministership in Madras Presidency,16,Indian Polity,Constitution of India,Understand,Medium,page_1.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"OP. Subbarayan (A) 2, 4,3,5,1   (BM, 5, 3, 1,4 (C) 5,3,1,2,4 @) 3,1,5,2,4- - (E).. Answer not known - ereveufleneciLitg Wsyrey wornom pier wpaaotsteae aiflestiu@sgis. Gig. gmeger g. SCL). Oy igwimit",31,General Studies,General,Understand,Hard,page_1.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"SOUITTUCT (A) 2, 4, 3, 5, 1  (@B) 2,5,3,1,4. (C) 5,3,1,2,4 @) 3,1,5,2,4 (E) Bar Asfuitoma wo , a CCS4T/2022 : . 7 oo [Turn over",26,General Studies,General,Understand,Medium,page_1.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"114. Which of the following statements about Bhagat Singh are true? G@) In 1930, Bhagat Singh attacked the Chittagong armouries (11) » In 1929, Bhagat Singh and B. K. Dutt threw a smoke bomb inside the Central Legislative Assembly Hall Gili) In 1925, Bhagat Singh formed Hindustan Republican Army (AY Gi) only 7 (B) () and Gi) only © @ and (ii) only (D) Gi) and (ii) only ©) Answer not known a Spssrapid snfbpisatiey uspéte Qgm tunen elaine Safes STL ME : (i) 1930-@@ Lists ALL smi <5u45U) us samba préslennit (ii) -1929- -Qo ussAs G.08. ssgien Qeoomps opBu ec uses 5 SanG Sent Gi) 1925-.q sein LispAe Qigicosiren suyuc uocou de Hermit (A) (ii) oc @o ef   / : ®) () pg (ii) LOD af ” , ©) (i) wpgud Gi) wi @w af ) Gi) opp (ii) we Ow of (E) fe Asfwclasa Ccs4Ti2622 a ee Ce a",151,General Studies,General,Remember,Very Hard,page_10.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,115. Arrange the following Newspaper’ and Journals of Thanthai Periyar in: chronological order.,13,General Studies,General,Understand,Easy,page_11.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"Kudiarasu (C) 3,2,4,1 oe (D) 2,3, 1, (E) Answer not known . Epéacragit sang GlufusmmMesr QetiSppnereaerud, Qsipameruyid STO PEO MLiig. cules HsgHs.",22,General Studies,General,Understand,Medium,page_11.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"wygcra (A) 4,2,3,1 ) (B) 3,4, 1,2 (C) 3,2,4,1 - (@D) 2, 3,1, 4 (@) alan Qshucileene Assertion (A): The Indian heritage advocates hospitality, charity, :   friendship, love,. respect for parents and. elders and tolerance. ' Reason, (R) :   All these help the people to live j Inunity, (aWBoth (A) and (R) are true (R) is the correct explanation of (A) . (B) Both (A) and (R) are true (R) is not the correct explanation of (A) (C) (A) is true but (R) is false (D) Ais false but (R) is true’ (E) Answer not known   - SeM : - @bau Lirgbuunb aug AG ECEmU, FOS, BLL, STL, GubGprenjuyd wbpib Fereowenws usu MsHsTEWw. sryjentib : Giopeadlu UeirLyset Gaypgienioscner LOSI WEEE eppleD.DUL or amp . 2 pajSlenpan. . WieuiTEeneruyid wes Los mtb FAILS . (A) spp smyemapb ef, smyomnbd appear eflusren aSleréseib (B) spp asrjengp ef, smyennbd sop pssrer sfluimen elerésub 2100, (C) apg ef, aryemrb soupy - (D) s#Hn sag, sryenrb eifl [Turn over",164,General Studies,General,Create,Very Hard,page_11.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"117. Match the following: (a) First Five Year Plan (b) Second Five Year Plan (c) Third Five Year Plan (d) Fourth Five Year Plan @ ® © @ @ 1 2 38 4 BB 4 1 2 8 (M3 1 2 4 ) 1 38 #4 2 (6) Answer not known Denar Gerereyperpe QunGSsgis. @) Ose gisremG Pou (©). werpraigs gbsren@ ALLw. (2) prensnag gbpreinG ALL @ ® © @ (AY 1-2 #38 4 (B) 4-1 #2 8 “(C) 3 1 .2 4 @Mi1 3 #4 - 2 (E) Alen. QgsfluseAedenes CCS4T/2022 . Economic stability   . Growth with stability . Problems of refugees, food shortage and inflation. . Self-generating economy 38 Qungearigny flenagserenw   Alenosseren iyo Salo i uate”   eset, 2.6610) Libpréeenp wedgib uiemeS&s Aéa0a5CT SW 2(HeUTsse! Quncperrgsmpid",127,Indian Economy,Banking & Finance,Apply,Very Hard,page_12.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"118. Arrange the following plans in Chronological order. @) Gandhian Plan   a (ii) Bombay Plan (iii) Jawaharlal Nehru Plan   (iv) Vishveshwarya Plan (A) @), i), (iii), Gv) BM), Gi), GD, @   © O@,@,4) a ©) Gi), @, Gv), Gi) , - (E) Answer not known   «S&ipéacire Ac. tiseer sreqpenptiti aMesiuGsgis. © snbGus Bes oe Gi) unbgu geuw Gi) gasotend Cpe Lb (iv) AcvGarsauptnuin ALL   (A) @), Gi), Gii), Gv) (B) (iv), Gi), Gi), @ , ©)   @), Gi), Gv); Gy) D) Gi, @, Gv), Gi) (BE) Aor Apfucdoce 39 - CCs4't/2022 {Turn over",93,General Studies,General,Create,Very Hard,page_13.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"119. Arrange the source of revenue of government of India for the year 2020- 21 in descending order   (Gj) GST (ii) . Personal income tax - Gi) Excise (iv) Corporate tax . @) Customs ) (AMG), (i), Git), Gv), (W) (B) Gi), Gv), @, (v), Gi) (©) @, Gy), Gi), Gi, @)  . @) Gy), @, Gi), Gi), (vy). (E) Answer not known , - 2020-21 e@pib  ayotrig sro - @psu suger eugeuml (porseer anus - @iflangudled aula ORES. @~ GST a Gi) gat euguores auf (ii) Steno iv) Bgyouer auf - (v) 5 thes eu (A) (i), Gi), Gai), Gv), (v) (B) (i), Gv), @), (v), Gai)   © @, Gv), Gi), Gi), () (D) (Gv), @), (i), Gi), (v)  (E) alent AsMucilaena CCS4T/2022 40",125,Indian Economy,Macroeconomics,Understand,Very Hard,page_14.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"120. The birth rate is estimated in terms of   (i) Number of births per one hundred population in a given year (ii) Number of births-per one lakh population in a given year   (iii) Number of births per one thousand population in ten years . (iv) Number of births per one thousand population in a given year   (A) @only   BY) @only (C) Gii) only -   OMiv) only (E) Answer not known . ony Mls Beer Siig, CILIGOL UVe AinG ciuGSipgy. G) 26 GAUGLL geirhd HIM WéadT Astensuled Appsautsafian cratranfl dons Gi) am GAA a, eRtige 9G Bars LoS att Asrensue Ip bseutsafest : Tet eRTEeNG = . , (iit) Usgs!  sycin@isctte <mpuAud loéact Asransuled Appseutechér crebrenfidsens . ~ iv) RT GOCUILL syed apudid Loder Asrmaule Apbseutacfler crekrentlsens   (A) (i) wi. @ , : (B) (11) WL. @ub . (C) (ii) WL @b - * @) Gv) to Gib   (E) lent AsAudrane   :",151,Geography,Physical Geography,Understand,Very Hard,page_15.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"If the difference between C.I. and S.I. on some principal at 15% p.a. for . 3 years is = 1,134..Then the principal is (Aw 16,000 ~ (B). = 15,000 (©) 14,000 7 (D) = 20,000   (E) Answer not known }   . 15% sein. euL ig. ued 3 en Gsersee Aaor sGD si - ag SSID, afi Guy SGD Qoo Guuyjérar algsHumab € 1,134 called sper wee   (A) = 16,000   / mt) = 15,000 (C) % 14,000  ..@) = 20,000 -   (B) ‘elon. AsAueildene oe : : woo a re re oe   CCS4T/2022 , [Turn over",95,General Studies,General,Understand,Very Hard,page_15.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"122. If H.C. of p and q is x and q = = xy, find the L.CM of p and q from the following ~ ; . . (A) pq (B) ay (C) xy (DM py (E) Answer-not known PD wpid q-er BUG Gung uessH X wpb g = xy crate, P wpgid g-er SéAy Gung) wLtueng BG pucrere DOORS) ENTE. . A) pa ; CS Bq :",68,General Studies,General,Understand,Very Hard,page_16.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,(aN (C) xy Om . (E) GSleor Asfualedene The length of a rectangle - is . Bx + 2) units and its breadth   is (3x - 2) units. Find its area. (x= 20 units) Ave sq.units - (B) 8956. sq. units (C) 4256 sq. units’ (D) 5356 sq. units ‘ (E) Answer not known RG Decicassler Farid (3x + 2) AV GSAT ios Md ZiBr ASOD (Be 2) HOGG THAD AFT LIPLILIGTANGIS HTT. (x = 20 105 56) . (A) 3596 s..aG@ect   (B) 3956 s.21680r   (C) 4256 F. AV (GEA (D) 5356 ¢.9a@adr (E) Aen Agsfwadana   - CCS4T/2022 ee ae   pb,101,Mathematics,Arithmetic,Understand,Very Hard,page_16.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"Two dice are rolled: together find the e probability of getting « a doublet « or sum of faces as 4 (A) 1/9   . (B) 3/9 (C) 4/9   Maio (E) Answer not known   i . Oyen useradr @Gy Casha 2 oC LLUGDAUMEDS Asn gu @Gy (paid AW Ga. H5a 4 Moss Blapssay ETE. (A) 1/9   . , (&) 3/9 © 49 29",62,Mathematics,Statistics & Probability,Apply,Very Hard,page_17.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"(E) lar Aghulaene. Kala and Vani are friends. Kala says, “Today is my birthday” and she asks Vani, “When will you celebrate your birthday?” Vani replies, “Today - is Monday and I celebrated my birthday 75 ® days ago”. Find the day when     Vani celebrated her birthday? , (A). Tuesday - (B) Wednesday (C) Thursday (D) Friday (E) Answer not known SOM wm eure Hoag Bamuirac. “Qlerp crags psp pire” TOOT SOT ‘eaflenrdr. curesfuli “een Gps prener otiGung § GanemomnGeumi?” crars Gari. SSHG aon “Qe Pus Aypoow, prev crongynrw GVpbs preva 75 pr s@5nae per Garemnma.Geren” cron us@eflssmar. aretiuler Apbspret - SS Eipenwude AFSIGEGL 6 TOTS STATS. (A) Qeweums Aipenw (B) Yser Aipenw (C) cGSlumperr Eipeno (D) Gaudraft &ypenwo  E) Ale Agfa 4B     CCS4T/2022 [Turn over",126,General Studies,General,Understand,Very Hard,page_17.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"126. The greatest 5 digits number, which, when divided by: 3, 5, 8 and 1 12 have 2asa remainder i is (A) (B) (©) (D 99972 99958 99960. 9962 (E) Answer not known eG Ma Guflu gbgy Qeoss crenonos 3, 5, 8 Losbmid 12-a agGsGb Gurg), Aa se@b SH 2 calle, Has Guflw sibs! Boss GT tar oT Om   @) (B) (C) @) (E) 99972 99958 99960 - 99962. alan. GgeNueilevencs",71,General Studies,General,Understand,Very Hard,page_18.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"The ratio of 435: 25 is same as A (C) (D) (E) 435 (A) (B) (C) . (D) (E) (M1: 1 2: 1 7:5 7:10 Answer not known 2° oreTLIS DS sLomTen elAlgib. 2:1 , 4:1 7:5. 7:10. aloo AgsAwuaildena CCS4T/2022 ' 4   60.",44,Mathematics,Arithmetic,Understand,Hard,page_18.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"128. 4P+Sr9BH¥A8?7e>Z%6d*Q@1   If the first half of the series is written in reverse order, then which element will be fourteenth from the right end? - (\ @A (C) Z , (DM + (E) Answer not known Oo 4P+Sr9B#A3?7c>Z%6d*Q@l GemQéenuce Gsmiler apse umSeow ‘NerGanré auMeneudé eT(ipSlenmed eucmib Glgm fetr UPA UsSSHMO HSS 14-asrs Siem uyib epicilenans 5 STORE. @M> = @A (a i @) + (E) ae QsMuailerenco     129, 10 ‘farmers will plough the land in 21 days. In how many ""days 14 farmers will plough the same land? (A) 14 days (BM15 days (C) 16 days (D) 17 days (E) Answer not known 10 Masn§edt 21 preaie. a6. Hosos 2s) paadespent eroatled ale flageng 14 larsrudecr aippaon somes 2 (pS) CLE (A) 14 preset   ;     (B) 15 presé Oo Se (© 16 presen     (D) 17 prteer (E) Moor. AsAueMerene pb re ccsatv2022. [Turn over -",145,Reasoning & Mental Ability,Series Completion,Understand,Very Hard,page_19.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"102. Find out the incorrect pairs : (i) Maharashtra oo   (i) Telangana - @i)Bihr   , (iv) Andhra Pradesh   Bi-camral legislature Uni-camral legislature Uni-camral legislature -Bi-camral legislature - (A) @), Gi) and (ii) are incorrect pairs   (B) (i) and (ii) are incorrect pairs -(C)Mai) and (11) are incorrect pairs 7 (D) All are incorrect (E) Answer not known   seupmen Qaocmrenus serps. me)) LWSMpTagiggn - (ii) Qpgrisrenn -   iii) Sent   (iv) ppSinGjGseb FFTCOS FL LWEsTH Ld @Teeu s Lwempid   SIMaI F L WweNMibd FFTEOO FL t wWesrpid (A) @, Gi) opp (ili) seupren Q)enexr (B) G@) who (i) sapren Qlenonr (C) (i) wp Gil) sauprer @eneen (D) simansgib Saupran Blenosr (E) lar. Agfucldee CCS4T/2022   28",113,General Studies,General,Understand,Very Hard,page_2.png,TNPSC-Group-4-2023-General-Studies
