exam,year,shift,question_text,question_length,subject,topic,bloom_level,difficulty
GATE,2023,Shift 1,"Computer Science and Information Technology (CS) GATE General Aptitude (GA) Q.1   Q.5 Carry ONE mark Each Q.1 We reached the station late, and missed the train. (A) near (B) nearly (C) utterly (D) mostly Q.2 Kind : : : Often : Frequently (By word meaning) (A)   Mean (B)   Type (C)   Cruel (D)   Kindly Page 1of7 Organizing Institute: IIT Kanpur",59,Computer Science,General,Understand,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.13 Let SLLdel be a function that deletes a node in a singly-linked list given a pointer to the node and a pointer to the head of the list. Similarly, let DLLdel be another function that deletes a node in a doubly-linked list given a pointer to the node and a pointer to the head of the list. Let n denote the number of nodes in each of the linked lists. Which one of the following choices is TRUE about the worst-case time complexity of SLLdel and DLLdel? (A)   SLLdel is O(1) and DLLdel is O(n) Both SLLdel and DLLdel are O(log(n)) Both SLLdel and DLLdel are O(1) SLLdel is O(n) and DLLdel is O(1) CS Page 3 of 83",128,Computer Science,Programming,Understand,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.14 Consider the Deterministic Finite-state Automaton (DFA) A shown below. The DFA runs on the alphabet {0,1}, and has the set of states {s,p,g,r}, with s being the start state and p being the only final state. 0 I 1 -O1- @ I 0 a 0 O 0,1 Which one of the following regular expressions correctly describes the language accepted by A? (A)   1(0*11)* (B)   0(0 + 1)* (C)   1(0+11)* (D)   1(110*)* CS Page 4 of 83",85,Computer Science,Theory of Computation,Understand,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.15 The Lucas sequence L,, is defined by the recurrence relation: Ln = Ly-1 + Ly-2, for n = 3, Which one of the options given is TRUE? 1+V5\""   1 V5\"" "" 2 3 1+V5\""   1 V5\"" 14V¥5\"" [1-v5\"" CS Page 5 of 83",52,Computer Science,Discrete Mathematics,Remember,Hard
GATE,2023,Shift 1,GATE 2023 Computer Science and Information Technology (CS) Q.16 Which one of the options given below refers to the degree (or arity) of a relation in relational database systems? (A)   Number of attributes of its relation schema. Number of tuples stored in the relation. Number of entries in the relation. Number of distinct domains of its relation schema. CS Page 6 of 83,63,Computer Science,Discrete Mathematics,Understand,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.17 Suppose two hosts are connected by a point-to-point link and they are configured to use Stop-and-Wait protocol for reliable data transfer. Identify in which one of the following scenarios, the utilization of the link is the lowest. (A)   Longer link length and lower transmission rate (B)   Longer link length and higher transmission rate (C)   Shorter link length and lower transmission rate (D)   Shorter link length and higher transmission rate CS Page 7 of 83",83,Computer Science,Compiler Design,Remember,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.18 Let 123 4 4 12 8 A=13 4 41 2 23 4 1 and 3 4 1 2 412 8 B= 123 4 23 4 1 Let det(A) and det(B) denote the determinants of the matrices A and B, respectively. Which one of the options given below is TRUE? (A)   det(A) = det(B) (B)   det(B) =  det(A) (C)   det(A) = 0 (D)   det(AB) = det(A) + det(B) CS Page 8 of 83",81,Computer Science,General,Understand,Hard
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.19 Consider the following definition of a lexical token id for an identifier in a program- ming language, using extended regular expressions: letter   [A-Za-z] digit   [0-9] id   letter (letter   digit)* Which one of the following Non-deterministic Finite-state Automata with «- transitions accepts the set of valid identifiers? (A double-circle denotes a final state) letter letter Om C) ) digit (A) ° letter € ~C) letter € digit (B) letter =O € ~() letter fom CS Page 9 of 83",87,Computer Science,Theory of Computation,Understand,Hard
GATE,2023,Shift 1,GATE 2023 Computer Science and Information Technology (CS) CS Page 10 of 83,13,Computer Science,General,Understand,Easy
GATE,2023,Shift 1,"GATE 2023 Computer Science and Information Technology (CS) Q.20 An algorithm has to store several keys generated by an adversary in a hash table. The adversary is malicious who tries to maximize the number of collisions. Let k be the number of keys, m be the number of slots in the hash table, and k > m. Which one of the following is the best hashing strategy to counteract the adversary? (A)   Division method, i.e., use the hash function h(k) =k mod m. (B)   Multiplication method, i.e., use the hash function h(k) =  m(kA    kA]) , where A is a carefully chosen constant. (C)   Universal hashing method. (D)   If k is a prime number, use Division method. Otherwise, use Multiplication method. CS Page 11 of 83",126,Computer Science,Programming,Understand,Hard
GATE,2023,Shift 1,GATE 2023 Computer Science and Information Technology (CS) Q.21 The output of a 2-input multiplexer is connected back to one of its inputs as shown in the figure. Match the functional equivalence of this circuit to one of the following options. D Flip-flop D Latch Half-adder Demultiplexer CS Page 12 of 83,52,Computer Science,Programming,Understand,Hard
GATE,2023,Shift 1,"Computer Science and Information Technology (CS) GATR Q.3 A series of natural numbers F,, Fz, F3, Fy, Fs, Fo, Fr, .. obeys Fra, = F, + Fy-1 for all integers n >",32,Computer Science,Compiler Design,Understand,Medium
GATE,2023,Shift 1,"If Fz = 37, and F, = 60, then what is F, ? (A)  4 (By)  5 (Cc)  8 (D)  9 Page 2 of 7 Organizing Institute: IIT Kanpur",29,Computer Science,General,Understand,Medium
