exam,year,month,paper,paper_code,subject,topic,question_number,question_text,question_length,difficulty,bloom_level,source_folder,source_image
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,1,Wek A are A SAM eat wi Wen wef A aes a sdf eA ae afer HS Gen a aM (1) 31.25 (2 (3) 45.45 42.67 (4),27,Medium,Apply,UGC-NET(aug 2024),page_1.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,13,"; ; MA ~ aA A fastatad faa favafaerera Hi STs at 1916 A at WaT at? (A) sentra favafazrera (B) Wawa. Aten favataencra (C) Fa favateenrcr (D) Yea favateerca (E) aware fe<g fazataenca ara feu me fanco 4 a Gat sat aaa ata: (1) ae (A), (B) FR (C) (2) mae (B), (C) HM (E) (3) ae (B), (C) SH (D) (4) Haat (A), (D) FR (LE)",68,Medium,Apply,UGC-NET(aug 2024),page_10.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,14,"frafafad da fea akrom diet & fou cater sewn I Bee? (A) 76 faeneil & Ahad Hi Ue atta (B) 4, oa 8 seta wy viata or ch fore ferenferat at afacat sie aera s we, faanell era drat ag ara = (C) (D) we feat aa aterm & feu faafad fer Hn rae Aasit Ye4 FI ara feu ne fared 4 4 aa sat a aaa afar - (1) mac (A) FR (B) a ) ( aT (A) BR (C) (3) aT (A), (B) BR (D) (4) HAG (B), (C) si (D)",93,Medium,Apply,UGC-NET(aug 2024),page_11.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,15,The ger Wea BAT A WRT ART BIT Sera Sta AAT A waa & Oe &s fa wert We a a fA A A Fel SAB ? (1) waa watts sere (2) Ae Wlatne see (3) (4),37,Medium,Apply,UGC-NET(aug 2024),page_11.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Operating Systems,16,"Identify the correct order of the following major technological changes A-D in the development of computers based on first to fourth generation of computers : Transistors (A) (B) Microprocessor Vacuum tubes (C) (D) Integrated circuits Chouse the correct answer from the options given below Q) (Ay, (C) (D), (B) (2) (B), (A), (C), (D) Q) (1D), (A). (C), (B) (4) (C), CA), (D). (B)",64,Medium,Apply,UGC-NET(aug 2024),page_12.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Operating Systems,17,"Three major actions in the process of Communication are : (A) Receiving (B) Sending (C) Reviewing (D) Interpreting (E) Analysing Choose the correct answer from the options given below : (1) (C), (D) and (E) only (2) (A), (C) and (D) only (3) (A), (B) and (D) only (4) (A), (D) and (E) only",54,Medium,Apply,UGC-NET(aug 2024),page_12.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,18,"In computer networking, an [P version-6 is times larger than an IP version-4 address. (1) (2) @G) (4)",18,Medium,Apply,UGC-NET(aug 2024),page_13.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,19,"To record voice narration for your Microsoft PowerPoint presentation, vour computer must have (A) Sound card (B) An internet connection (C) Speakers (D) An external video port (E) Microphone Choose the correct answer from the options given below (1) (A), (C) and (F) only (2) (B) and (D) only (3) (A) and (E) only (4) (By, (C) and (D) only",60,Medium,Apply,UGC-NET(aug 2024),page_13.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,20,"fr Usa SI SA aaraed AA H ANTS HHH aera aire : (A) TOMI Yes (B) wdrane (C) Ferre a sifeen (D) (E) WA Fee ara feu nu fanedt 4 4 wet Sat a asa aif : (1) (A), (C), (D), (B), (E) ( - ) (C), (D), (B), (A), (E) (3) (B), (A), (C), (E), (D) (4) (D), (B), (A), (E), (C)",63,Medium,Apply,UGC-NET(aug 2024),page_14.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,21,"‘Tarra gu a an a facafeafad aA- al HAA Weta 2? Q) Saal YEA A sq HO Arse 3 BT ei “ { ) S404, Wet & em a fa Wa Ae aR & faa Geese HH am fan ara 21 (3) TaTa WU Fa Usa Hl SLAM S.A. TU SA... Eta rt fered aT 2 (4) ST a a, wae, a. a, a, aT aa. aie ory gM BUTT",70,Medium,Apply,UGC-NET(aug 2024),page_14.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,22,"Arrange the data sets with following pairs of mean (y) and standard derivation (¢) in increasing order of their coefficient of variation. (A) y =8 017 (B) y=ll,a=22 = (C) 1 =15 o=3.6 (D) 1 = 16 Choose the correct answer from the options given below Q) (A), (B), (D), (C) = ) ( (B). (D). (). (Y) (3) (C), (B), (D), (A) (4) (1), (B). (A) ©)",68,Medium,Apply,UGC-NET(aug 2024),page_15.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,23,"Match List - I with List - IL. List - I List - H (Word) (Unique Code) (A) QUAKE (1) KTFUL (B) OFTEN (11) VHQDU PEACH IEYOU (C) (111) (D) DRIVE (dV) JUYWR Choose the correct answer from the options given below : (1) (A)-(1), (B)-(IID, (C)-(), (D)-(IV) (2) (A)-(ID), (B)-(V), (C)-(If), (D)-(1) (3) (A)-(T1D, (B)-(), (C)-(IV), (D)-(D (4) (A)-(IV), (B)-(ID, (C)-(D), (D) (HD",64,Medium,Apply,UGC-NET(aug 2024),page_15.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,25,"Ina race of 500 m run, A beats B bv 20 mand C by 80m. If Band C are running another race of 100 m with exactly same speed as before, then by how many meters will B beat C ? 10.0 m (1) { = ) 85m (3) 15.0 m (4) {25m",53,Medium,Apply,UGC-NET(aug 2024),page_16.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,26,"frafatad a fas ara a sya oe a ae Be? are ara 8 fe GS A ea wa at ae 6 fe Waa A sreara ar &? eather sitaas freraa oy sa yea Te ote free arqed Bt ger A ars (A) ae ae). Fa Wy] 34 Yea We tes ae arbre yea el Gera A are ara si eT, er $l (B) SPUTATT ; Ts A sre ere Bi (C) We Uap afd Ae BI (D) frend ; Fra oy, 34 yea we tes ore safer aaa I gern A are aren sik carey STF (E) fret : aysit Y srem ett Bi ara feu 10 faacd 44 at sat wa ata: (1) ae (B), (C) ar (D) (2) wae (A), (C) 3 (E) (3) eae (A) SR (BE) (4) waa (A), (D) FR (E)",136,Medium,Apply,UGC-NET(aug 2024),page_17.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,27,"wor fram vata sir were woe a an Wf frafatad a a fea cel an 8 areiaa fen on aa ze ? (A) fate, aren at Prifra aca cen rears ar cern Ht Vert & fore Savers etm 81 (B) va ae 2 ates woe & Ka a oT TT TF (C) (D) sere warren (asta Ges) ar wa wer fray soar a wo A fern sae (F) ara feu mo fared 4 a wat sat a aaa aif: (1) aA (B) BR (C) (2) aa (A), (B) BR (D) Q) aaa (D) atk (Lk) (4) ae (A), (B) A (K)",101,Medium,Apply,UGC-NET(aug 2024),page_17.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,28,Wee VAM aed Ff faferad Fa a a aa 2? (1) OTe & fara wee SAT HT TH FI ( - ) (3) Wa ay fered Be TATRA HT aT LATA FI (4) aelteaat o ferd wee aA yer sie fagra a aria-M a EI,45,Medium,Apply,UGC-NET(aug 2024),page_18.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,29,"Match List - I with List - H. List - I List - HI (Constitutional Provision of Education) (Article) Women’s Education (A) (1) (B) Education of Minorities (Il) 21-A (C) Secular Education (11) 15 (Part-II) (D) Right to Education (IV) 29 (Part-II) Choose the correct answer from the options given below : (1) (A)-(IH), (B)-(1), (C)-(IV), (D)-(L) ( -_ ) (A)-(1), (B)-(H), (C)-(Y), (D)-CI) (3) (A)-(I), (B)-(IV), (C)-(), (BD) (4) (A)-(1), (B}-(IV), (C)-(IL), (D)-(1ID",74,Medium,Apply,UGC-NET(aug 2024),page_18.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,30,"Arrange the following fractions in increasing order (A) (B) (C) n (D) 2B Choose the correct answer from the options given below : (1) (B), (D), (A), (©) (2) (B), (A), (C), (D) (3) (D), (A), (B), (C) (4) (D), (B), (C), (A)",43,Medium,Apply,UGC-NET(aug 2024),page_19.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Interpretation,2,"Hf the number of females who passed in Arts from City-C is 768, then the number of males who o passed in Commerce from City-C is approximately «Of the number of students who passed from City-C. 14.76 () ( = ) 18.24 27.8 G) (4) 32.5",46,Medium,Apply,UGC-NET(aug 2024),page_2.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,31,feat ued A aa al SH WIT eT AAT AT eH Ee? (1) fara ( - ) STAT . Wate ( ) (4) BY Ac,25,Medium,Apply,UGC-NET(aug 2024),page_20.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,32,and AW anyfra pret A yeaa GIs BATA Ga AA-Al s ? fens ATE Wie (1) -_ ( ) stem We (3) ware aryet (4) send AVS,27,Medium,Apply,UGC-NET(aug 2024),page_20.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,33,"Arrange the ‘5 Ws’ of communication in proper sequence : (A) Why When (B) (C) What Who (D) (E) Where Choose the correct answer from the options given below : (1) (C), (D), (E), (B) and (A) (2) (E), (D), (B), (C) and (A) (3) (A), (B), (C), (D) and (E) (4) (B), (:\), (C), (D) and (E)",58,Medium,Apply,UGC-NET(aug 2024),page_21.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,34,"Prafeatad 8 fers aa 1 abe Sra CI MAHA SP AS ATER A eT SAT OTT ATT @1 safe ze ot ro FAA Ae F"""" (A) me marrareara feat sal apis il a wishes eee Bt (B) 76 3.0.3. (EAE) faria 31 (C) ye Zar"" apa ve 8 (D) frend al Sey Ve FI 21 (E) Wey We stor &1 ara feu cm fared 44 ad sat wa aif: (1) BI (.\), (B) HTC) (2) AC (B), (C) BP (D) 3) ae (D) se (E) (4) ae (A), (C) AR (E)",91,Medium,Apply,UGC-NET(aug 2024),page_21.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,35,"According to UGC regulations 2018 on plagiarism, which of the following similarities constitute Level - 1 plagiarism ? (A) [2° (B) 42° 28% (C) (D) 56% (E) 379, Choose the most appropriate answer from the options given below q) (A), (B) and (C) only (2) (B), (C) and (D) onl (3) (A), (C) and (BE) enly (4) (B), (C) and (E) only",62,Medium,Apply,UGC-NET(aug 2024),page_22.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,36,"qa 4 gat ww fram aif : eat Fat-il ( fotarot & verre ) ( faaror ) (A) aaa Fa (I) Gall fara cate foreat yam fagra &o a fears ot aa-74 fan a fern ai 8 ate se Goraferd wa A yfsfars fan a as | (B) (I) Ue wal wala fred feere fara arnt a sige a faafea az aa & an or, ge fern & a ar a yd we foere & ora aaa @ (C) (Hy) aan 4 wa feats wel a fre area Ua ean Aa Yar] era rf (D) aly) rel ard fares farcanita arate & fora Us BT RG Han H Brat Fi Tere FI ara fea 1a fase 4a ad sat a ae aifa - (1) (A)-(1D. (B)-(UID. ()-(). (D)-LV) ( = ) (A)-(EV), (B)-CID, (C)-(HED, (D)-(1) (3) (A)-1V), (BCD, (CUD, (1)-C11D) (4) (A)-(0. (BCD, (C)-CI, (D)-(LV)",145,Medium,Apply,UGC-NET(aug 2024),page_22.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,39,Fra A 8 OST Ses Sed CRA AGH Aa FHS HI SA HUM F? a (1) Yale x (2) Shit (3) (4) aaifsd wrepfae ea (a.UAH. ),27,Medium,Apply,UGC-NET(aug 2024),page_24.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,40,"Match List - ] with List - IL List - 1 List - I (Internet Term) (Description) (A) Blogs (I) Allows users to creale and edit web pages using a browser (B) Podeasts ay A type of bookmarking where a user “marks” a webpage or photo using text to describe its contents (C) Tagging au) A serivs of digital media files (D) Wikis av) Personal internet journals Choose the correct answer from the options given below (1) (\(D. (BCD, (CHUN, (D)-0V) (2) (ACU, (BIN), (C)-(4, (D)-(D (3) (A}-(IV), (B)-(IH), (C)-(1), (D)-(1) (4) (A)-(1D, (B)-CIB, (C)-(IV), (D)-()",96,Medium,Apply,UGC-NET(aug 2024),page_24.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,41,"Match List - I with List - IL List - I List - Il (International Treaties) (Key Objectives) (A) Sendai Framework (1) Equality between men and women (B) Monterry Concensus (11) Our common future (C) Beijing Declaration (1) Disaster Risk Reduction (D) Brundtland Report (IV) Financing for development Choose the correct answer from the eplions given below (1) (A)-(IID), (B)-(IV), (C)-(1), (D)-(D (2) (A)-(IV), (B)-(), (C)-(1), (D)-(1D (3) (A)-(1), (B)-(iD), (C)-(IH), (D)-(1V) (4) (A)-(H), (B)-(), (C)-(IV), (D)-()",77,Medium,Apply,UGC-NET(aug 2024),page_25.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,42,"freatatad was anda ser a ya SB kaa fem HA A os (A) Aart WeT-al (B) (C) fase afsren a (D) arg feu nu fanco 4 8 aa sat a aa aie : (1) (A), (D), (C), (B) ( ~ Se) ) (B), (C), (A (D) (3) (D), (A), (B), ©) (4) (C), (B), (D), (A)",56,Medium,Apply,UGC-NET(aug 2024),page_25.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,44,"If (L),) represents a number [in base-M number system, then what will be the value of (107), + (257) ,,,? Q) (762) 9 (2) (862) G) (962) 14 (4) (662) 1)",31,Medium,Apply,UGC-NET(aug 2024),page_26.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,46,one Ty Wels Va faye va wt awaiiara fea ara & fa Her aa z ? (1) aac (2) srg (3) weder (4) aaa,24,Medium,Apply,UGC-NET(aug 2024),page_27.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,47,War were awl uaa ara oat wu a faa feos afer awe are &? (1) Tae Afex ace Ufex (3) (4) Wfsar Afex,23,Medium,Apply,UGC-NET(aug 2024),page_28.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,48,Q W Aa A WTA Wray H Gy tat ae fasta Sai-zacn am ae F? (1) Qual sit aa - tS) ) ( (3) Ayal sit fefera (4) aaa ait feferar,31,Medium,Apply,UGC-NET(aug 2024),page_29.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Interpretation,3,"For Citv-A, if the total number of males who passed in Arts is 2480, then what is the difference between the number of students who passed in Commerce and that in Science ? Q) (2) G) {400 (4)",38,Medium,Apply,UGC-NET(aug 2024),page_3.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,49,"wa a fea me edi-can aga any afer ad %, 34 A Hl ET aH a? CY ATA (1) ( = ) arqal arat Fel Aa (3) (4) Teal ATA",30,Medium,Apply,UGC-NET(aug 2024),page_30.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,50,"7A Ta STAT Al Maer aa sik faew H Hs PI W ArT wien @, We Weine Sa a fea aM a (1) ATER ( = ) a x (3) Beh (4) aay",33,Medium,Apply,UGC-NET(aug 2024),page_31.png
